date,vw_index
20150326,6446.556
20150327,6455.246
20150330,6531.39
20150331,6489.826
20150401,6473.592
20150402,6505.47
20150406,6548.383
20150407,6533.422
20150408,6546.749
20150409,6566.77
20150410,6597.83
20150413,6567.823
20150414,6589.413
20150415,6628.667
20150416,6625.542
20150417,6559.779
20150420,6603.527
20150421,6583.966
20150422,6612.078
20150423,6633.685
20150424,6627.458
20150427,6598.1
20150428,6622.9
20150429,6603.536
20150430,6544.79
20150501,6598.297
20150504,6620.401
20150505,6551.759
20150506,6530.915
20150507,6548.744
20150508,6628.757
20150511,6598.348
20150512,6585.751
20150513,6584.022
20150514,6639.325
20150515,6649.853
20150518,6666.712
20150519,6658.179
20150520,6653.859
20150521,6668.152
20150522,6649.702
20150526,6581.237
20150527,6624.179
20150528,6617.74
20150529,6577.7
20150601,6586.493
20150602,6593.018
20150603,6607.167
20150604,6545.262
20150605,6542.544
20150608,6504.616
20150609,6509.547
20150610,6581.955
20150611,6596.363
20150612,6555.576
20150615,6528.99
20150616,6561.832
20150617,6573.314
20150618,6624.648
20150619,6586.77
20150622,6620.897
20150623,6629.486
20150624,6578.898
20150625,6559.417
20150626,6566.939
20150629,6430.174
20150630,6443.012
20150701,6479.397
20150702,6475.7
20150706,6444.232
20150707,6486.928
20150708,6381.586
20150709,6399.919
20150710,6473.54
20150713,6531.061
20150714,6557.537
20150715,6537.073
20150716,6569.664
20150717,6542.056
20150720,6527.708
20150721,6495.454
20150722,6493.2
20150723,6456.463
20150724,6393.325
20150727,6353.27
20150728,6436.223
20150729,6494.557
20150730,6493.967
20150731,6485.559
20150803,6458.779
20150804,6448.081
20150805,6454.373
20150806,6422.275
20150807,6398.517
20150810,6487.188
20150811,6433.382
20150812,6435.681
20150813,6422.683
20150814,6450.228
20150817,6481.478
20150818,6465.313
20150819,6404.524
20150820,6278.445
20150821,6115.458
20150824,5873.779
20150825,5797.565
20150826,5979.527
20150827,6128.95
20150828,6142.777
20150831,6104.104
20150901,5932.46
20150902,6012.624
20150903,6037.228
20150904,5945.087
20150908,6080.01
20150909,5997.703
20150910,6014.356
20150911,6030.26
20150914,6001.746
20150915,6073.121
20150916,6141.24
20150917,6131.261
20150918,6030.978
20150921,6058.705
20150922,5978.327
20150923,5950.464
20150924,5927.687
20150925,5933.831
20150928,5776.561
20150929,5782.738
20150930,5890.691
20151001,5902.728
20151002,5989.814
20151005,6111.571
20151006,6100.015
20151007,6161.222
20151008,6224.817
20151009,6227.19
20151012,6221.803
20151013,6175.71
20151014,6143.131
20151015,6227.041
20151016,6250.241
20151019,6236.128
20151020,6237.818
20151021,6186.836
20151022,6268.646
20151023,6297.455
20151026,6272.885
20151027,6237.407
20151028,6326.918
20151029,6318.621
20151030,6294.257
20151102,6370.106
20151103,6388.877
20151104,6359.512
20151105,6353.214
20151106,6342.677
20151109,6281.47
20151110,6299.084
20151111,6270.244
20151112,6171.207
20151113,6122.525
20151116,6213.962
20151117,6200.062
20151118,6291.058
20151119,6283.251
20151120,6294.937
20151123,6290.577
20151124,6310.656
20151125,6313.902
20151127,6315.617
20151130,6291.507
20151201,6352.517
20151202,6272.845
20151203,6186.773
20151204,6280.773
20151207,6214.18
20151208,6161.572
